League,Season,Date,HomeTeam,AwayTeam,HomeGoals,AwayGoals,Result,HomeShots,AwayShots,HomeShotsOnTarget,AwayShotsOnTarget,PlayersScored,CoachHome,CoachAway,Referee
SP1,2024-25,2024-04-02,Betis,Getafe,1,1,D,9,11,3,2,,Manuel Pellegrini,José Bordalás,
SP1,2024-25,2024-04-02,Real Madrid,Ath Madrid,1,1,D,17,10,4,5,,Carlo Ancelotti,Diego Simeone,
SP1,2024-25,2024-05-02,Vallecano,Sevilla,1,2,A,22,10,5,6,,Iñigo Pérez,Quique Sánchez Flores,
SP1,2024-25,2024-09-02,Cadiz,Betis,0,2,A,14,13,5,5,,Mauricio Pellegrino,Manuel Pellegrini,
SP1,2024-25,2024-10-02,Alaves,Villarreal,1,1,D,17,12,4,4,,Luis García,Marcelino,
SP1,2024-25,2024-10-02,Sociedad,Osasuna,0,1,A,21,9,3,2,,Imanol Alguacil,Jagoba Arrasate,
SP1,2024-25,2024-10-02,Real Madrid,Girona,4,0,H,16,5,6,0,,Carlo Ancelotti,Míchel,
SP1,2024-25,2024-10-02,Las Palmas,Valencia,2,0,H,8,7,3,1,,García Pimienta,Rubén Baraja,
SP1,2024-25,2024-11-02,Getafe,Celta,3,2,H,11,9,4,4,,José Bordalás,Claudio Giráldez,
SP1,2024-25,2024-11-02,Mallorca,Vallecano,2,1,H,8,11,5,4,,Javier Aguirre,Iñigo Pérez,
SP1,2024-25,2024-11-02,Sevilla,Ath Madrid,1,0,H,10,16,6,5,,Quique Sánchez Flores,Diego Simeone,
SP1,2024-25,2024-11-02,Barcelona,Granada,3,3,D,11,11,6,5,,Xavi,José Ramón Sandoval,
SP1,2024-25,2024-12-02,Almeria,Ath Bilbao,0,0,D,10,12,4,4,,Pepe Mel,Ernesto Valverde,
SP1,2024-25,,Villarreal,Getafe,1,1,D,20,11,7,2,,Marcelino,José Bordalás,
SP1,2024-25,,Ath Madrid,Las Palmas,5,0,H,13,11,7,2,,Diego Simeone,García Pimienta,
SP1,2024-25,,Osasuna,Cadiz,2,0,H,11,5,4,1,,Jagoba Arrasate,Mauricio Pellegrino,
SP1,2024-25,,Celta,Barcelona,1,2,A,13,14,4,4,,Claudio Giráldez,Xavi,
SP1,2024-25,,Valencia,Sevilla,0,0,D,14,1,4,1,,Rubén Baraja,Quique Sánchez Flores,
SP1,2024-25,,Vallecano,Real Madrid,1,1,D,8,11,3,4,,Iñigo Pérez,Carlo Ancelotti,
SP1,2024-25,,Granada,Almeria,1,1,D,19,13,7,3,,José Ramón Sandoval,Pepe Mel,
SP1,2024-25,,Mallorca,Sociedad,1,2,A,4,19,1,5,,Javier Aguirre,Imanol Alguacil,
SP1,2024-25,,Betis,Alaves,0,0,D,13,13,2,4,,Manuel Pellegrini,Luis García,
SP1,2024-25,,Ath Bilbao,Girona,3,2,H,14,12,7,6,,Ernesto Valverde,Míchel,
